Quartos,Área Construída,Banheiros,Vagas,Valor
4,269.0,4,4,1900191.0
4,337.0,4,4,2490249.0
3,200.0,2,3,950000.0
3,110.0,2,3,520000.0
3,90.0,1,3,389000.0
4,103.0,2,2,536100.0
2,71.0,2,2,259000.0
3,90.0,2,3,309000.0
4,188.0,4,5,1200000.0
3,140.0,5,3,499000.0
3,100.0,1,3,450000.0
4,108.0,2,2,481999.0
4,150.0,2,4,530056.0
3,108.0,2,3,450048.0
3,93.0,4,3,387900.0
4,100.0,2,4,280000.0
3,100.0,2,2,400400.0
4,180.0,3,5,735000.0
4,257.0,4,5,1800000.0
4,150.0,3,4,850000.0
2,80.0,2,2,260026.0
3,100.0,2,3,365000.0
3,80.0,2,3,299000.0
4,235.0,4,2,1230000.0
3,90.0,2,3,309000.0
3,90.0,2,2,309039.0
3,130.0,3,4,600042.0
4,170.0,3,4,849995.0
3,92.0,4,3,439000.0
4,300.0,4,4,2500125.0
3,90.0,2,3,309000.0
3,165.0,2,3,875075.0
3,100.0,2,3,519000.0
4,331.0,5,4,2690269.0
3,110.0,2,4,450000.0
4,185.0,4,4,1280000.0
4,253.0,4,4,1680000.0
3,80.0,2,1,499000.0
3,296.0,4,3,850000.0
3,95.0,2,3,395000.0
3,93.0,4,3,387900.0
4,272.0,4,4,1800000.0
5,520.0,4,5,4590005.0
3,122.0,2,4,395000.0
3,318.0,4,4,1050000.0
3,80.0,2,1,440000.0
5,330.0,4,5,2100000.0
4,215.0,4,5,1019000.0
3,113.0,2,3,465012.0
3,173.0,4,4,1100000.0
3,100.0,1,3,380000.0
4,250.0,4,5,1690000.0
3,115.0,2,3,590000.0
3,93.0,2,2,300000.0
3,160.0,4,3,1200020.0
4,365.0,4,5,3900000.0
3,180.0,4,3,850000.0
4,158.0,3,3,720021.0
5,425.0,4,5,3950395.0
4,803.0,5,5,13500000.0
3,86.0,2,2,272999.0
3,296.0,4,3,850000.0
3,93.0,4,3,387900.0
3,198.0,2,3,420000.0
3,118.0,2,3,544000.0
3,93.0,4,3,387900.0
3,93.0,4,3,387900.0
4,80.0,2,1,472000.0
3,150.0,3,4,850000.0
3,93.0,4,3,387900.0
3,92.0,2,2,299000.0
3,93.0,2,2,299000.0
3,110.0,2,2,320000.0
3,103.0,3,2,349801.0
3,120.0,2,3,405005.0
3,111.0,2,3,384984.0
3,111.0,3,4,399000.0
3,115.0,2,3,590059.0
4,320.0,5,2,2890000.0
3,130.0,3,3,529998.0
3,80.0,2,1,690000.0
4,233.0,4,4,2000002.0
3,250.0,5,4,1400000.0
3,90.0,2,3,309000.0
4,200.0,4,4,2000000.0
5,420.0,3,5,1200000.0
4,140.0,4,4,590000.0
4,270.0,4,5,950000.0
4,223.0,4,4,1300145.0
3,93.0,4,3,387900.0
4,275.0,4,4,1950194.0
3,93.0,2,2,300000.0
4,187.0,4,4,599000.0
4,272.0,4,5,1800000.0
5,257.0,4,5,1700000.0
3,155.0,4,4,1100000.0
3,144.0,2,3,700000.0
3,80.0,1,1,399000.0
4,365.0,4,5,3900000.0
2,96.0,1,2,3000000.0
3,93.0,4,3,387900.0
4,194.0,4,5,850000.0
3,80.0,2,1,385000.0
4,260.0,4,4,1780175.0
3,105.0,3,4,195000.0
4,250.0,4,5,2200000.0
3,189.0,4,4,1250000.0
4,222.0,2,5,755000.0
4,326.0,4,4,2850000.0
3,144.0,3,3,700018.0
3,91.0,3,3,390017.0
4,276.0,4,4,1400043.0
2,70.0,2,2,430000.0
4,262.0,4,5,990000.0
4,123.0,2,3,530153.0
3,114.0,3,2,330000.0
5,286.0,2,5,1800081.0
4,220.0,4,4,1389983.0
4,180.0,4,4,1200201.0
4,150.0,4,3,449099.0
3,100.0,1,3,380000.0
3,100.0,1,3,380000.0
4,220.0,4,5,1450000.0
3,151.0,2,4,470000.0
5,403.0,4,5,2800280.0
5,278.0,4,5,1550000.0
4,266.0,4,5,1600001.0
3,100.0,1,3,380000.0
3,100.0,2,2,450000.0
3,151.0,4,3,1050105.0
4,231.0,4,4,1550015.0
5,317.0,4,5,1150000.0
4,116.0,5,4,650000.0
3,114.0,2,2,329986.0
3,100.0,2,2,395012.0
3,100.0,2,3,410000.0
4,218.0,4,4,1550051.0
3,93.0,4,3,387900.0
2,66.0,2,2,235000.0
4,300.0,4,4,2500000.0
3,90.0,2,3,309000.0
4,220.0,4,5,1199900.0
3,261.0,4,3,1800000.0
3,90.0,2,3,309000.0
3,90.0,2,3,309000.0
3,130.0,3,3,600066.0
3,122.0,2,3,395000.0
4,317.0,4,5,2900000.0
3,140.0,2,3,535018.0
3,95.0,2,3,460000.0
5,339.0,4,5,1990000.0
3,150.0,4,3,1050000.0
4,253.0,3,5,1780000.0
5,420.0,5,5,3500000.0
4,200.0,4,3,445113.0
4,310.0,3,4,3000000.0
3,105.0,2,3,450000.0
5,458.0,4,5,4500000.0
5,275.0,4,5,1950195.0
4,158.0,2,5,570000.0
3,183.0,3,4,980000.0
3,116.0,2,3,750057.0
4,169.0,3,4,849000.0
4,265.0,4,4,1890189.0
4,269.0,4,5,1900119.0
3,90.0,2,3,309000.0
4,150.0,3,5,613015.0
4,400.0,4,5,3000000.0
5,400.0,4,5,2990099.0
4,80.0,1,1,699900.0
4,190.0,4,5,865005.0
3,93.0,4,3,387900.0
4,144.0,2,4,699900.0
3,110.0,2,3,489000.0
3,90.0,2,3,309000.0
3,90.0,2,3,309000.0
4,126.0,2,3,502000.0
3,140.0,2,3,535000.0
3,159.0,3,4,875042.0
3,90.0,2,3,309000.0
3,93.0,2,2,299000.0
4,215.0,4,5,890000.0
4,148.0,2,4,765006.0
3,90.0,2,3,309000.0
3,80.0,2,2,450000.0
3,151.0,4,3,1050000.0
3,100.0,2,3,450000.0
4,208.0,3,3,440000.0
4,376.0,4,5,2900000.0
4,289.0,4,5,2500052.0
3,118.0,2,3,544000.0
3,96.0,2,3,380000.0
3,92.0,3,3,400000.0
3,90.0,2,3,309000.0
3,175.0,4,5,800000.0
4,170.0,3,4,1050999.0
3,88.0,2,2,380000.0
5,458.0,4,5,4500450.0
3,118.0,2,3,544000.0
3,103.0,3,2,345000.0
3,90.0,2,3,309000.0
3,137.0,2,4,753000.0
5,505.0,5,5,6300000.0
4,220.0,3,1,1199000.0
5,500.0,4,5,8500000.0
4,150.0,3,5,599993.0
3,120.0,1,3,399000.0
4,103.0,2,3,551100.0
4,194.0,4,5,1200000.0
3,140.0,2,3,660078.0
5,280.0,4,5,2450045.0
4,142.0,4,4,560060.0
3,93.0,2,2,289289.0
5,260.0,4,5,1700069.0
4,272.0,4,4,1800000.0
3,118.0,2,3,544000.0
3,90.0,2,3,309000.0
3,75.0,5,2,249994.0
3,124.0,2,3,460000.0
3,92.0,3,3,415040.0
2,82.0,2,2,319000.0
3,234.0,5,5,1400000.0
3,130.0,3,3,275000.0
3,93.0,4,3,387900.0
3,86.0,3,2,275000.0
3,103.0,2,2,338000.0
3,138.0,2,3,630000.0
4,285.0,4,5,2190190.0
3,100.0,4,2,350075.0
4,245.0,2,4,2200000.0
3,152.0,4,3,950000.0
4,220.0,4,5,1400000.0
4,290.0,4,5,2100000.0
3,103.0,2,2,520000.0
2,240.0,2,2,399000.0
4,200.0,4,5,1150000.0
2,71.0,5,2,279072.0
4,142.0,2,4,560000.0
3,168.0,2,4,7015000.0
3,93.0,4,3,387900.0
4,235.0,4,5,1750051.0
4,256.0,3,4,1980000.0
5,341.0,4,5,3350000.0
2,70.0,3,2,269000.0
4,500.0,4,5,3000000.0
3,250.0,4,4,1800000.0
3,100.0,2,3,519000.0
4,256.0,3,4,1980000.0
3,100.0,2,3,450054.0
3,93.0,4,3,387900.0
2,75.0,3,2,252011.0
4,153.0,3,4,650056.0
4,338.0,4,5,1990019.0
3,150.0,4,3,1100000.0
5,450.0,5,5,4800008.0
4,220.0,4,5,1450000.0
4,249.0,4,4,1650013.0
3,124.0,2,3,460064.0
3,99.0,2,2,338000.0
2,70.0,2,2,330159.0
3,103.0,3,3,385053.0
3,122.0,2,3,395395.0
3,91.0,2,2,309000.0
3,119.0,2,3,540000.0
5,275.0,4,4,1950000.0
4,257.0,4,4,2090000.0
3,90.0,3,2,330000.0
3,90.0,2,3,309000.0
3,174.0,4,3,1300016.0
3,93.0,4,3,387900.0
4,188.0,4,5,1200000.0
5,380.0,4,1,3400000.0
5,425.0,4,5,3950000.0
3,140.0,2,3,480000.0
4,240.0,4,5,1720172.0
3,100.0,1,3,380000.0
2,68.0,2,3,370000.0
3,110.0,2,3,499000.0
4,227.0,4,4,1380000.0
3,103.0,2,2,327991.0
3,93.0,4,3,387900.0
3,90.0,2,3,309000.0
2,75.0,2,2,249999.0
4,236.0,4,4,1200000.0
